symbol,company,sector
RELIANCE,Reliance Industries,Energy
HDFCBANK,HDFC Bank,Financials
ICICIBANK,ICICI Bank,Financials
TCS,Tata Consultancy Services,IT
INFY,Infosys,IT
LT,Larsen & Toubro,Capital Goods
MARUTI,Maruti Suzuki India,Auto
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare
ITC,ITC,FMCG
TITAN,Titan Company,Consumer
